Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,115.769997,116.989998,115.480003,116.870003,110.659996,13800600
2018-02-02,116.489998,116.919998,114.089996,114.279999,108.207611,16477300
2018-02-05,113.000000,114.589996,103.980003,108.800003,103.018791,30097600
2018-02-06,106.849998,112.480003,106.610001,112.110001,106.152924,33114800
2018-02-07,111.550003,114.449997,111.150002,112.870003,106.872536,21878300
2018-02-08,113.110001,113.110001,107.839996,107.879997,102.147667,27425800
2018-02-09,109.099998,111.050003,106.230003,110.040001,104.192902,28188000
2018-02-12,111.169998,112.730003,110.070000,111.739998,105.802582,18043300
2018-02-13,111.320000,113.050003,110.800003,112.430000,106.455917,16358200
2018-02-14,112.629997,115.269997,112.529999,115.029999,108.917755,15186900
2018-02-15,115.739998,115.989998,114.220001,115.510002,109.372261,12130200
2018-02-16,114.550003,116.070000,114.500000,114.680000,108.586357,13214300
2018-02-20,114.650002,115.389999,113.970001,114.709999,108.614761,13461500
2018-02-21,115.000000,117.449997,114.669998,115.190002,109.069260,14212500
2018-02-22,115.500000,116.430000,114.760002,114.980003,108.870422,17070400
2018-02-23,115.309998,117.389999,115.309998,117.309998,111.076591,12162500
2018-02-26,118.139999,118.900002,117.320000,118.769997,112.459030,16511200
2018-02-27,118.910004,119.330002,117.349998,117.360001,111.123955,17563300
2018-02-28,117.820000,118.489998,115.339996,115.500000,109.362785,17735600
2018-03-01,115.480003,116.639999,112.650002,113.430000,107.402779,18690000
2018-03-02,112.389999,113.559998,111.120003,113.320000,107.298615,18353700
2018-03-05,112.050003,115.930000,111.889999,115.059998,108.946159,13933000
2018-03-06,115.639999,115.820000,114.320000,115.160004,109.040855,10674400
2018-03-07,113.750000,115.099998,113.110001,114.730003,108.633698,13006500
2018-03-08,115.110001,115.230003,113.209999,114.739998,108.643166,11173700
2018-03-09,116.550003,118.080002,115.669998,118.040001,111.767807,15366600
2018-03-12,118.000000,118.750000,117.250000,117.660004,111.408005,12339300
2018-03-13,118.199997,118.470001,115.830002,116.250000,110.072929,13312300
2018-03-14,116.559998,116.589996,114.599998,114.949997,108.841995,12905100
2018-03-15,115.870003,116.000000,114.830002,115.239998,109.116600,8748000
2018-03-16,115.339996,116.599998,115.339996,115.440002,109.305969,19888900
2018-03-19,115.099998,115.449997,113.300003,114.529999,108.444328,13214900
2018-03-20,114.870003,115.449997,114.449997,114.639999,108.548485,9921200
2018-03-21,114.809998,116.629997,114.209999,114.739998,108.643166,13633000
2018-03-22,113.199997,113.599998,109.540001,109.949997,104.107681,22550400
2018-03-23,110.269997,110.919998,106.760002,107.010002,101.323906,23081500
2018-03-26,109.190002,111.160004,108.650002,110.309998,104.448555,20217500
2018-03-27,111.070000,111.690002,107.300003,108.169998,102.422256,18039900
2018-03-28,108.279999,109.169998,106.650002,108.000000,102.261307,19189300
2018-03-29,108.500000,110.779999,107.779999,109.970001,104.126625,13274600
2018-04-02,109.959999,110.730003,106.080002,107.849998,102.119270,18822500
2018-04-03,108.360001,109.500000,107.260002,109.330002,103.520638,14050700
2018-04-04,107.099998,111.209999,107.019997,110.989998,105.092422,15302600
2018-04-05,111.629997,112.830002,111.389999,111.879997,106.472336,16627000
2018-04-06,110.550003,111.550003,107.820000,109.089996,103.817192,18906000
2018-04-09,110.010002,112.980003,109.889999,110.400002,105.063873,15974300
2018-04-10,112.129997,112.870003,111.419998,112.510002,107.071892,13951400
2018-04-11,111.660004,111.809998,110.519997,110.620003,105.273254,14503300
2018-04-12,111.559998,114.389999,111.500000,113.370003,107.890327,16435500
2018-04-13,115.019997,115.150002,109.050003,110.300003,104.968712,39152800
2018-04-16,110.940002,111.470001,109.790001,110.209999,104.883057,16580500
2018-04-17,111.370003,111.919998,109.989998,110.209999,104.883057,15501400
2018-04-18,110.529999,111.070000,108.889999,109.320000,104.036072,16081400
2018-04-19,109.529999,111.870003,109.500000,111.720001,106.320076,17911000
